,word,label
0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 598 163 4 503 89
 164 6 45 322 10 378 149 3 5 211 3521 3 5 52 681 37 14 1407]",1
1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 2944 1209 60 4]",1
2,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 2076 86 855 2 3 8 14 40]",1
3,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 112 33 159 1 241 154]",0
4,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 970 627 199 99 175 12 91 150 1608 73 38 256 150]",0
5,"[702 558 80 1337 1 32 33 943 8 384 81 2289 107 1729 398 1 8 64 62 2288 808
 2289 15 39 2 110 103 6 3 120 943 8 6 1730 158 2288 184 152 337 51 39 271
 1408 1409 5 24 123 1 1047 137]",1
6,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 481 1 286 481 1 1516 481 1 1338 13 319 28]",1
7,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 241 105 15 195 109 241 4 9 2 1517 7 11 32]",0
8,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 276 257 1212 1 1610 4]",0
9,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 36 55 1731 1732 12 2 73 11 32 2 3 10 23 6]",1
